!! n100w100.003    77.76 873


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

    1      24.00      43.00        .00        .00     879.00        .00
    2      25.00       9.00        .00      72.00     146.00        .00
    3      14.00      49.00        .00     534.00     660.00        .00
    4      38.00      25.00        .00     208.00     249.00        .00
    5      38.00      47.00        .00        .00      70.00        .00
    6      11.00      15.00        .00      62.00     162.00        .00
    7      40.00      15.00        .00     188.00     341.00        .00
    8       9.00      32.00        .00     408.00     481.00        .00
    9      29.00      46.00        .00        .00      70.00        .00
   10      15.00      35.00        .00     362.00     429.00        .00
   11      32.00      48.00        .00        .00      95.00        .00
   12      33.00       9.00        .00     111.00     205.00        .00
   13      26.00       4.00        .00     114.00     219.00        .00
   14       9.00      38.00        .00     323.00     440.00        .00
   15      21.00       9.00        .00      39.00     145.00        .00
   16      25.00      34.00        .00        .00     144.00        .00
   17      29.00      41.00        .00     299.00     395.00        .00
   18       8.00      28.00        .00     401.00     526.00        .00
   19      19.00       6.00        .00      82.00     122.00        .00
   20       7.00      18.00        .00     437.00     495.00        .00
   21      24.00      43.00        .00     309.00     364.00        .00
   22      32.00       3.00        .00      80.00     225.00        .00
   23       4.00      38.00        .00     299.00     419.00        .00
   24      10.00      22.00        .00     447.00     578.00        .00
   25      41.00      41.00        .00       1.00     123.00        .00
   26       1.00      38.00        .00     361.00     429.00        .00
   27      50.00      11.00        .00     158.00     207.00        .00
   28      23.00      45.00        .00        .00      80.00        .00
   29       5.00      12.00        .00     400.00     538.00        .00
   30      35.00      25.00        .00     178.00     299.00        .00
   31      48.00      17.00        .00     146.00     289.00        .00
   32      31.00      34.00        .00        .00      84.00        .00
   33      32.00      46.00        .00        .00      52.00        .00
   34      34.00      48.00        .00        .00      50.00        .00
   35      25.00      44.00        .00        .00      74.00        .00
   36      49.00       6.00        .00     156.00     215.00        .00
   37      17.00      33.00        .00     338.00     397.00        .00
   38      13.00      10.00        .00      46.00     166.00        .00
   39       5.00      39.00        .00     556.00     720.00        .00
   40       2.00      43.00        .00     326.00     444.00        .00
   41      15.00      18.00        .00      53.00     106.00        .00
   42      28.00      43.00        .00        .00      62.00        .00
   43      12.00       1.00        .00     604.00     739.00        .00
   44      45.00       8.00        .00     113.00     244.00        .00
   45      21.00      22.00        .00      52.00     162.00        .00
   46      40.00      25.00        .00     184.00     313.00        .00
   47      17.00      41.00        .00     281.00     443.00        .00
   48      28.00      24.00        .00     453.00     573.00        .00
   49      37.00      41.00        .00       5.00      69.00        .00
   50      32.00      26.00        .00     270.00     371.00        .00
   51      36.00       7.00        .00     142.00     238.00        .00
   52       9.00      24.00        .00     365.00     509.00        .00
   53      39.00       4.00        .00     627.00     773.00        .00
   54      13.00      15.00        .00     482.00     556.00        .00
   55       9.00      29.00        .00     368.00     494.00        .00
   56       1.00      24.00        .00     372.00     488.00        .00
   57      30.00      50.00        .00     573.00     690.00        .00
   58      17.00      40.00        .00     325.00     412.00        .00
   59      31.00      38.00        .00      36.00     112.00        .00
   60      23.00       6.00        .00      56.00     170.00        .00
   61      46.00      34.00        .00     232.00     313.00        .00
   62      48.00      24.00        .00     197.00     270.00        .00
   63      30.00      43.00        .00        .00      30.00        .00
   64      38.00      29.00        .00     202.00     284.00        .00
   65      48.00      40.00        .00     283.00     331.00        .00
   66      17.00      35.00        .00     347.00     393.00        .00
   67      28.00      40.00        .00     553.00     664.00        .00
   68      42.00       4.00        .00     156.00     259.00        .00
   69      12.00      18.00        .00      56.00     130.00        .00
   70      23.00      13.00        .00      89.00     149.00        .00
   71       3.00      27.00        .00     383.00     522.00        .00
   72      33.00      36.00        .00      12.00      67.00        .00
   73      13.00      42.00        .00     289.00     393.00        .00
   74      26.00      35.00        .00     317.00     364.00        .00
   75      47.00      46.00        .00     230.00     364.00        .00
   76      42.00      39.00        .00     207.00     372.00        .00
   77      50.00      28.00        .00     277.00     346.00        .00
   78      20.00      28.00        .00       4.00     131.00        .00
   79      12.00      44.00        .00     351.00     491.00        .00
   80      43.00      18.00        .00     178.00     328.00        .00
   81      14.00      36.00        .00     297.00     464.00        .00
   82      40.00      14.00        .00     538.00     624.00        .00
   83      49.00      46.00        .00     696.00     774.00        .00
   84      13.00      18.00        .00      19.00     146.00        .00
   85       5.00      22.00        .00     435.00     483.00        .00
   86      22.00      18.00        .00     480.00     537.00        .00
   87      49.00       3.00        .00     114.00     248.00        .00
   88      36.00      44.00        .00      20.00      46.00        .00
   89      41.00      26.00        .00     157.00     246.00        .00
   90      50.00       3.00        .00     128.00     233.00        .00
   91      20.00       5.00        .00     102.00     155.00        .00
   92        .00       2.00        .00     752.00     832.00        .00
   93       3.00      14.00        .00     428.00     568.00        .00
   94       2.00       8.00        .00     446.00     517.00        .00
   95      10.00      18.00        .00      61.00     107.00        .00
   96      36.00      50.00        .00        .00      97.00        .00
   97      36.00       2.00        .00      83.00     203.00        .00
   98      37.00      20.00        .00     177.00     263.00        .00
   99      23.00      32.00        .00      10.00     137.00        .00
  100       1.00      28.00        .00     405.00     496.00        .00
  101      37.00      39.00        .00     722.00     798.00        .00
  999        .00        .00        .00        .00        .00        .00
